prediction;Day
214.91482063584266;938
214.5992383371173;939
214.2817514922584;940
213.9624273329614;941
213.64133333359686;942
213.31853719410734;943
212.99410682295454;944
212.66811032012293;945
212.34061596018665;946
212.01169217544523;947
211.68140753913468;948
211.34983074871963;949
211.01703060927252;950
210.68307601694465;951
210.34803594253688;952
209.34921905811174;953
209.01221514902153;954
208.67433295543842;955
208.3356415846168;956
207.99621013797383;957
207.65610769536121;958
207.31540329947128;959
206.97416594038222;960
206.63246454024755;961
206.2903679381325;962
205.94794487500423;963
205.60526397887767;964
205.26239375012173;965
204.91940254693088;966
204.57635857096398;967
204.23332985315525;968
203.89038423969998;969
203.54758937821944;970
203.20501270410634;971
202.8627214270554;972
202.52078251778212;973
202.17926269492966;974
201.83822841217057;975
201.4977458455022;976
201.1578808807401;977
200.8186991012102;978
200.4802657756432;979
200.14264584627165;980
199.80590391713136;981
199.47010424257073;982
199.13531071596543;983
198.80158685864401;984
198.46899580902223;985
198.13760031194906;986
197.80746270826276;987
197.4786449245613;988
197.15120846318334;989
196.82521439240327;990
196.5007233368393;991
196.1777954680743;992
195.85649049549028;993
195.53686765731442;994
195.21898571187953;995
194.9029029290942;996
194.58867708212574;997
194.2763654392926;998
193.96602475616723;999
193.65771126788636;1000
192.6887203246082;1001
192.38462781248094;1002
192.08272800420474;1003
191.78307498040792;1004
191.48572226591915;1005
191.19072282329986;1006
190.8981290465752;1007
190.60799275516027;1008
190.3203651879798;1009
190.03529699778036;1010
189.7528382456308;1011
189.47303839561;1012
189.1959463096789;1013
188.92161024273483;1014
188.6500778378435;1015
188.3813961216502;1016
188.11561149996157;1017
187.85276975349993;1018
187.59291603382576;1019
187.3360948594232;1020
187.08235011194913;1021
186.83172503263938;1022
186.58426221887157;1023
186.34000362087855;1024
186.09899053861224;1025
185.86126361875125;1026
185.62686285185197;1027
185.39582756963722;1028
185.16819644242054;1029
184.94400747666185;1030
184.72329801265124;1031
184.50610472231747;1032
184.29246360715658;1033
184.08240999627924;1034
183.87597854457047;1035
183.67320323096064;1036
183.47411735680168;1037
183.27875354434744;1038
183.08714373533272;1039
182.89931918964794;1040
182.71531048410583;1041
182.53514751129725;1042
182.35885947853086;1043
182.1864749068553;1044
182.01802163015827;1045
181.85352679434072;1046
181.69301685656131;1047
181.53651758454905;1048
181.38405405597962;1049
181.23565065791246;1050
181.09133108628575;1051
180.95111834546486;1052
180.81503474784293;1053
180.68310191348843;1054
180.55534076983815;1055
180.43177155143172;1056
180.3124137996851;1057
180.19728636270042;1058
180.0864073951083;1059
179.97979435794147;1060
179.8774640185357;1061
179.77943245045594;1062
179.6857150334456;1063
179.5963264533959;1064
179.51128070233307;1065
179.43059107842174;1066
179.3542701859813;1067
179.28232993551495;1068
179.21478154374694;1069
179.15163553366855;1070
179.0929017345899;1071
179.03858928219583;1072
178.98870661860445;1073
178.94326149242772;1074
178.9022609588309;1075
178.86571137959177;1076
178.83361842315645;1077
178.80598706469257;1078
178.78282158613766;1079
178.7641255762424;1080
178.74990193060776;1081
178.74015285171612;1082
178.73487984895527;1083
178.7340837386349;1084
178.73776464399552;1085
178.74592199521027;1086
178.75855452937796;1087
178.77566029050985;1088
178.79723662950752;1089
178.82328020413507;1090
178.85378697898352;1091
178.88875222542987;1092
178.92817052159018;1093
178.97203575226845;1094
179.02034110890122;1095
179.07307908949977;1096
179.1302414985903;1097
179.1918194471537;1098
179.25780335256644;1099
179.328182938543;1100
179.40294723508273;1101
179.48208457842185;1102
179.56558261099244;1103
179.65342828139032;1104
179.74560784435434;1105
179.84210686075775;1106
179.94291019761516;1107
180.04800202810645;1108
180.15736583162027;1109
180.2709843938191;1110
180.38883980672952;1111
180.51091346885798;1112
180.6371860853377;1113
180.76763766810623;1114
180.9022475361195;1115
181.04099431560243;1116
