prediction;Day
220.927423640667;801
221.1855591990259;802
221.44036332516004;803
221.69177960637808;804
221.93975229316223;805
222.18422631520184;806
222.42514729729112;807
222.66246157508135;808
222.89611621068272;809
223.1260590081079;810
223.35223852854972;811
223.57460410548666;812
223.79310585961036;813
224.0076947135653;814
224.21832240649726;815
224.42494150840136;816
224.62750543426444;817
224.82596845799446;818
225.02028572613088;819
225.21041327132917;820
225.39630802561396;821
225.5779278333933;822
225.75523146422876;823
225.92817862535597;824
226.09672997394765;825
226.26084712911563;826
226.42049268364428;827
226.57563021545104;828
227.38898465582864;829
227.5350008720981;830
227.67640582058303;831
227.81316712867783;832
227.94525346192268;833
228.07263453371237;834
228.1952811146962;835
228.31316504186407;836
228.4262592273151;837
228.53453766670256;838
228.6379754473541;839
228.73654875605982;840
228.8302348865274;841
228.91901224649868;842
229.00286036452482;843
229.0817598963974;844
229.15569263123095;845
229.22464149719485;846
229.28859056689208;847
229.34752506238087;848
229.401431359838;849
229.4502969938613;850
229.49411066140817;851
229.5328622253699;852
229.56654271777813;853
229.59514434264378;854
229.61866047842508;855
229.63708568012552;856
229.65041568101864;857
229.65864739400064;858
229.66177891256888;859
229.65980951142618;860
229.6527396467108;861
229.64057095585207;862
229.62330625705093;863
229.60094954838672;864
229.57350600654993;865
229.54098198520205;866
229.50338501296244;867
229.4607237910248;868
229.4130081904022;869
229.3602492488047;870
229.30245916714827;871
229.2396513056993;872
229.1718401798548;873
229.09904145556123;874
229.021271944374;875
228.93854959816005;876
228.85089350344626;877
228.75832387541624;878
228.6608620515586;879
228.55853048496996;880
228.45135273731546;881
228.33935347145115;882
228.22255844371057;883
228.1009944958605;884
227.97468954672956;885
227.84367258351253;886
227.70797365275686;887
227.5676238510334;888
227.42265531529773;889
226.6103408558841;890
226.45623537450516;891
226.29761371134387;892
226.13451206246685;893
225.96696761164566;894
225.79501851895975;895
225.61870390912463;896
225.43806385955074;897
225.25313938813895;898
225.06397244081856;899
224.87060587883343;900
224.67308346578278;901
224.47144985442185;902
224.26575057322967;903
224.0560320127495;904
223.8423414117089;905
223.62472684292496;906
223.40323719900303;907
223.1779221778329;908
222.94883226789227;909
222.7160187333613;910
222.47953359905753;911
222.23942963519625;912
221.99576034198418;913
221.7485799340536;914
221.49794332474312;915
221.24390611023276;916
220.9865245535408;917
220.7258555683887;918
220.4619567029416;919
220.19488612343181;920
219.92470259767254;921
219.65146547846837;922
219.3752346869307;923
219.09607069570487;924
218.81403451211568;925
218.5291876612398;926
218.24159216891152;927
217.95131054466808;928
217.65840576464464;929
217.36294125442214;930
217.064980871839;931
216.76458888977066;932
216.46182997888664;933
216.1567691903895;934
215.84947193874513;935
215.54000398441;936
215.22843141656193;937
