Day,AQI
1,248.486617492097
2,320.645178071228
3,223.960906217071
4,173.687671232877
5,169.758377239199
6,202.867334035827
7,187.582191780822
8,201.031296101159
9,182.07291886196
10,296.640885142255
11,234.664172813488
12,247.297365648051
13,305.069968387777
14,321.250380152061
15,408.423369347739
16,211.505057955743
17,301.597238895558
18,281.378819810327
19,257.239093782929
20,249.133403582719
21,305.666426570628
22,262.329926238145
23,323.065986394558
24,286.532244467861
25,288.107481559536
26,197.857218124341
27,204.18177028451
28,198.20832455216
29,198.172181243414
30,230.7
31,254.255532139094
32,202.543940990516
33,197.883034773446
34,227.87291886196
35,230.939936775553
36,187.122655426765
37,201.281664910432
38,180.735616438356
39,189.786933614331
40,201.70937829294
41,214.290410958904
42,260.441728134879
43,259.909694415174
44,206.351633298209
45,171.870179135933
46,182.888724973656
47,177.570495258166
48,181.303582718651
49,190.747312961012
50,190.096733403583
51,203.764488935722
52,198.941517386723
53,194.986406743941
54,250.48956796628
55,177.895785036881
56,177.121285563751
57,185.434246575342
58,163.505584826133
59,165.168177028451
60,153.168598524763
61,152.889778714436
62,157.557428872497
63,154.94478398314
64,158.378398314015
65,158.22866174921
66,161.414436248683
67,170.057850368809
68,170.65679662803
69,162.540042149631
70,162.725922023182
71,160.815489989463
72,170.951106427819
73,173.997471022129
74,170.455426765016
75,179.336354056902
76,160.660590094837
77,175.644573234984
78,198.270284510011
79,189.239620653319
80,183.239831401475
81,199.194520547945
82,186.652792413066
83,173.000948366702
84,177.606638566913
85,182.966174920969
86,176.424236037935
87,188.857534246575
88,187.499578503688
89,184.432560590095
90,179.067860906217
91,174.343414120126
92,195.296206533193
93,189.977976817703
94,197.041412012645
95,288.660379346681
96,241.768387776607
97,185.24320337197
98,240.23487881981
99,184.184720758693
100,202.199683877766
101,175.154056902002
102,198.487144362487
103,180.410326659642
104,180.591043203372
105,185.682086406744
106,193.112118018967
107,192.244678609062
108,190.897049525817
109,173.543097997893
110,178.3708113804
111,167.636248682824
112,171.834035827187
113,168.524341412013
114,157.041095890411
115,161.987565858799
116,164.698314014752
117,163.154478398314
118,164.615700737619
119,170.414120126449
120,234.747629083245
121,182.666701791359
122,173.362381454162
123,180.678819810327
124,182.594415173867
125,167.145732349842
126,223.98177028451
127,197.304741833509
128,182.692518440464
129,355.205402160864
130,349.917847138856
131,117.423618090452
132,115.478391959799
133,162.958271865121
134,184.845626975764
135,187.716438356164
136,175.546469968388
137,170.088830347734
138,187.184615384615
139,349.336534613845
140,452.085514205682
141,240.693888303477
142,386.022929171669
143,268.244889357218
144,262.319494204426
145,493.525930372149
146,205.193677555321
147,184.954056902002
148,183.219178082192
149,178.634141201265
150,185.155426765016
151,185.635616438356
152,185.713066385669
153,183.80779768177
154,214.905900948367
155,193.798840885142
156,226.548050579557
157,176.506849315069
158,187.721601685985
159,208.573656480506
160,157.025605900948
161,884.056462585034
162,161.651949420443
163,154.862170706006
164,356.097278911565
165,187.613171759747
166,152.213382507903
167,155.858693361433
168,187.582191780822
169,160.242360379347
170,177.240042149631
171,152.31664910432
172,171.038883034773
173,155.259747102213
174,130.596984924623
175,137.17135678392
176,133.773366834171
177,132.985427135678
178,143.597989949749
179,153.313171759747
180,149.458291457286
181,173.362381454162
182,161.228556375132
183,148.079396984925
184,141.60351758794
185,139.190452261307
186,142.391457286432
187,132.911557788945
188,132.246733668342
189,137.023618090452
190,133.945728643216
191,135.398492462312
192,161.610642781876
193,157.51095890411
194,157.479978925184
195,159.225184404636
196,151.748682824025
197,119.097989949749
198,124.121105527638
199,134.979899497487
200,139.018090452261
201,134.216582914573
202,151.025816649104
203,151.800316122234
204,153.163435194942
205,147.414572864322
206,143.22864321608
207,129.58743718593
208,114.050251256281
209,135.398492462312
210,161.822339304531
211,156.43698630137
212,138.599497487437
213,655.258223289316
214,368.201320528211
215,141.283417085427
216,151.764172813488
217,153.364805057956
218,153.762381454162
219,153.597154899895
220,163.340358271865
221,158.316438356164
222,166.515806111697
223,163.980611169652
224,153.824341412013
225,306.964425770308
226,449.178951580632
227,521.213925570228
