Day,AQI
1,120.452261306533
2,116.955778894472
3,114.222613065327
4,118.531658291457
5,160.526343519494
6,164.765437302424
7,151.908746048472
8,135.718592964824
9,122.692964824121
10,325.263825530212
11,147.710050251256
12,221.905795574289
13,188.041728134879
14,156.225289778714
15,152.094625922023
16,154.547207586934
17,163.774077976818
18,147.586934673367
19,140.003015075377
20,155.476606954689
21,102.206532663317
22,152.042992623815
23,160.232033719705
24,151.562802950474
25,156.948155953635
26,119.565829145729
27,99.9579399141631
28,71.6094420600858
29,104.15175879397
30,111.341708542714
31,175.102423603793
32,124.071859296482
33,141.406532663317
34,140.224623115578
35,157.505795574289
36,162.214752370917
37,159.906743940991
38,166.045943097998
39,163.526238145416
40,170.290200210748
41,167.894415173867
42,165.21981032666
43,150.196984924623
44,151.046469968388
45,125.179899497487
46,155.755426765016
47,155.218440463646
48,161.682929399368
49,159.00832455216
50,158.920547945205
51,140.470854271357
52,139.953768844221
53,149.236683417085
54,119.221105527638
55,126.164824120603
56,106.786432160804
57,123.382412060302
58,153.308008429926
59,156.772602739726
60,164.693150684932
61,159.860273972603
62,155.311380400422
63,110.996984924623
64,100
65,101.147738693467
66,105.530653266332
67,156.251106427819
68,87.1085836909871
69,297.903161222339
70,129.070351758794
71,95.8360515021459
72,73.7124463519313
73,86.9824034334764
74,151.506006322445
75,327.533333333333
76,109.938190954774
77,79.4536480686695
78,167.522655426765
79,87.4660944206009
80,79.5377682403434
81,99.6004291845494
82,102.994472361809
83,147.340703517588
84,162.885985247629
85,161.192413066386
86,155.146153846154
87,105.875376884422
88,97.8549356223176
89,101.615577889447
90,101.418592964824
91,98.2755364806867
92,111.366331658291
93,129.045728643216
94,103.314572864322
95,137.885427135678
96,99.4321888412017
97,114.788944723618
98,154.428451001054
99,97.3922746781116
100,149.06432160804
101,157.247629083246
102,92.9549356223176
103,133.330150753769
104,124.736683417085
105,154.139304531085
106,151.702212855638
107,162.343835616438
108,158.238988408851
109,169.980400421496
110,157.39220231823
111,168.261011591149
112,166.329926238145
113,162.978925184405
114,154.660800842993
115,138.821105527638
116,153.333825079031
117,151.944889357218
118,151.841622760801
119,154.258061116965
120,122.102010050251
121,112.006532663317
122,93.3124463519313
123,107.919095477387
124,120.796984924623
125,115.379899497487
126,123.825628140704
127,96.5931330472103
128,126.386432160804
129,97.9390557939914
130,128.65175879397
131,80.5261802575107
132,130.129145728643
133,102.625125628141
134,154.015384615385
135,160.097787144363
136,155.424973656481
137,167.218018967334
138,193.277344573235
139,163.619178082192
140,157.63487881981
141,157.051422550053
142,138.033165829146
143,167.238672286617
144,177.808008429926
145,153.09114857745
146,158.626238145416
147,153.230558482613
148,130.326130653266
149,151.738356164384
150,118.211557788945
151,123.480904522613
152,120.058291457286
153,151.531822971549
154,115.650753768844
155,112.572864321608
156,108.337688442211
157,115.35527638191
158,117.275879396985
159,106.293969849246
160,115.552261306533
161,126.386432160804
162,92.2609442060086
163,97.2660944206009
164,112.843718592965
165,111.514070351759
166,134.068844221106
167,135.915577889447
168,120.206030150754
169,106.983417085427
170,138.254773869347
171,133.305527638191
172,134.315075376884
173,121.954271356784
174,130.301507537688
175,137.663819095477
